date,count,package
2013-08-17,9,agricolae
2013-08-18,12,agricolae
2013-08-19,38,agricolae
2013-08-20,41,agricolae
2013-08-21,32,agricolae
2013-08-22,37,agricolae
2013-08-23,33,agricolae
2013-08-24,9,agricolae
2013-08-25,14,agricolae
2013-08-26,42,agricolae
2013-08-27,38,agricolae
2013-08-28,25,agricolae
2013-08-29,35,agricolae
2013-08-30,35,agricolae
2013-08-31,7,agricolae
2013-09-01,33,agricolae
2013-09-02,67,agricolae
2013-09-03,34,agricolae
2013-09-04,30,agricolae
2013-09-05,24,agricolae
2013-09-06,19,agricolae
2013-09-07,40,agricolae
2013-09-08,28,agricolae
2013-09-09,104,agricolae
2013-09-10,43,agricolae
2013-09-11,54,agricolae
2013-09-12,41,agricolae
2013-09-13,44,agricolae
2013-09-14,12,agricolae
2013-09-15,21,agricolae
2013-09-16,57,agricolae
2013-09-17,36,agricolae
2013-09-18,48,agricolae
2013-09-19,38,agricolae
2013-09-20,48,agricolae
2013-09-21,24,agricolae
2013-09-22,27,agricolae
2013-09-23,75,agricolae
2013-09-24,39,agricolae
2013-09-25,62,agricolae
2013-09-26,61,agricolae
2013-09-27,71,agricolae
2013-09-28,24,agricolae
2013-09-29,34,agricolae
2013-09-30,88,agricolae
2013-10-01,45,agricolae
2013-10-02,48,agricolae
2013-10-03,49,agricolae
2013-10-04,36,agricolae
2013-10-05,13,agricolae
2013-10-06,12,agricolae
2013-10-07,60,agricolae
2013-10-08,94,agricolae
2013-10-09,103,agricolae
2013-10-10,84,agricolae
2013-10-11,50,agricolae
2013-10-12,46,agricolae
2013-10-13,27,agricolae
2013-10-14,32,agricolae
2013-10-15,106,agricolae
2013-10-16,53,agricolae
2013-10-17,91,agricolae
2013-10-18,51,agricolae
2013-10-19,48,agricolae
2013-10-20,32,agricolae
2013-10-21,82,agricolae
2013-10-22,82,agricolae
2013-10-23,58,agricolae
2013-10-24,63,agricolae
2013-10-25,69,agricolae
2013-10-26,14,agricolae
2013-10-27,16,agricolae
2013-10-28,78,agricolae
2013-10-29,81,agricolae
2013-10-30,89,agricolae
2013-10-31,90,agricolae
2013-11-01,74,agricolae
2013-11-02,26,agricolae
2013-11-03,25,agricolae
2013-11-04,73,agricolae
2013-11-05,119,agricolae
2013-11-06,131,agricolae
2013-11-07,108,agricolae
2013-11-08,101,agricolae
2013-11-09,43,agricolae
2013-11-10,46,agricolae
2013-11-11,106,agricolae
2013-11-12,69,agricolae
2013-11-13,117,agricolae
2013-11-14,77,agricolae
2013-11-15,79,agricolae
2013-11-16,31,agricolae
2013-11-17,31,agricolae
2013-11-18,97,agricolae
2013-11-19,105,agricolae
2013-11-20,80,agricolae
2013-11-21,68,agricolae
2013-11-22,52,agricolae
2013-11-23,36,agricolae
2013-11-24,47,agricolae
2013-11-25,62,agricolae
2013-11-26,79,agricolae
2013-11-27,49,agricolae
2013-11-28,42,agricolae
2013-11-29,50,agricolae
2013-11-30,33,agricolae
2013-12-01,51,agricolae
2013-12-02,72,agricolae
2013-12-03,86,agricolae
2013-12-04,119,agricolae
2013-12-05,83,agricolae
2013-12-06,62,agricolae
2013-12-07,55,agricolae
2013-12-08,37,agricolae
2013-12-09,93,agricolae
2013-12-10,69,agricolae
2013-12-11,103,agricolae
2013-12-12,100,agricolae
2013-12-13,72,agricolae
2013-12-14,56,agricolae
2013-12-15,32,agricolae
2013-12-16,77,agricolae
2013-12-17,67,agricolae
2013-12-18,78,agricolae
2013-12-19,42,agricolae
2013-12-20,53,agricolae
2013-12-21,19,agricolae
2013-12-22,21,agricolae
2013-12-23,30,agricolae
2013-12-24,9,agricolae
2013-12-25,21,agricolae
2013-12-26,18,agricolae
2013-12-27,29,agricolae
2013-12-28,25,agricolae
2013-12-29,17,agricolae
2013-12-30,29,agricolae
2013-12-31,31,agricolae
2014-01-01,12,agricolae
2014-01-02,21,agricolae
2014-01-03,19,agricolae
2014-01-04,13,agricolae
2014-01-05,18,agricolae
2014-01-06,41,agricolae
2014-01-07,75,agricolae
2014-01-08,98,agricolae
2014-01-09,126,agricolae
2014-01-10,99,agricolae
2014-01-11,38,agricolae
2014-01-12,38,agricolae
2014-01-13,66,agricolae
2014-01-14,106,agricolae
2014-01-15,93,agricolae
2014-01-16,120,agricolae
2014-01-17,49,agricolae
2014-01-18,38,agricolae
2014-01-19,31,agricolae
2014-01-20,81,agricolae
2014-01-21,67,agricolae
2014-01-22,71,agricolae
2014-01-23,100,agricolae
2014-01-24,56,agricolae
2014-01-25,25,agricolae
2014-01-26,24,agricolae
2014-01-27,55,agricolae
2014-01-28,100,agricolae
2014-01-29,55,agricolae
2014-01-30,73,agricolae
2014-01-31,42,agricolae
2014-02-01,25,agricolae
2014-02-02,31,agricolae
2014-02-03,64,agricolae
2014-02-04,77,agricolae
2014-02-05,59,agricolae
2014-02-06,57,agricolae
2014-02-07,43,agricolae
2014-02-08,30,agricolae
2014-02-09,32,agricolae
2014-02-10,32,agricolae
2014-02-11,68,agricolae
2014-02-12,70,agricolae
2014-02-13,60,agricolae
2014-02-14,120,agricolae
2014-02-15,30,agricolae
2014-02-16,28,agricolae
2014-02-17,105,agricolae
2014-02-18,118,agricolae
2014-02-19,133,agricolae
2014-02-20,106,agricolae
2014-02-21,75,agricolae
2014-02-22,51,agricolae
2014-02-23,74,agricolae
2014-02-24,143,agricolae
2014-02-25,92,agricolae
2014-02-26,121,agricolae
2014-02-27,83,agricolae
2014-02-28,81,agricolae
2014-03-01,63,agricolae
2014-03-02,50,agricolae
2014-03-03,127,agricolae
2014-03-04,101,agricolae
2014-03-05,95,agricolae
2014-03-06,79,agricolae
2014-03-07,74,agricolae
2014-03-08,42,agricolae
2014-03-09,48,agricolae
2014-03-10,93,agricolae
2014-03-11,121,agricolae
2014-03-12,92,agricolae
2014-03-13,123,agricolae
2014-03-14,69,agricolae
2014-03-15,42,agricolae
2014-03-16,21,agricolae
2014-03-17,86,agricolae
2014-03-18,90,agricolae
2014-03-19,62,agricolae
2014-03-20,86,agricolae
2014-03-21,60,agricolae
2014-03-22,37,agricolae
2014-03-23,29,agricolae
2014-03-24,82,agricolae
2014-03-25,126,agricolae
2014-03-26,79,agricolae
2014-03-27,134,agricolae
2014-03-28,108,agricolae
2014-03-29,50,agricolae
2014-03-30,56,agricolae
2014-03-31,94,agricolae
2014-04-01,72,agricolae
2014-04-02,76,agricolae
2014-04-03,125,agricolae
2014-04-04,67,agricolae
2014-04-05,37,agricolae
2014-04-06,38,agricolae
2014-04-07,98,agricolae
2014-04-08,100,agricolae
2014-04-09,98,agricolae
2014-04-10,94,agricolae
2014-04-11,60,agricolae
2014-04-12,44,agricolae
2014-04-13,51,agricolae
2014-04-14,114,agricolae
2014-04-15,116,agricolae
2014-04-16,80,agricolae
2014-04-17,109,agricolae
2014-04-18,52,agricolae
2014-04-19,49,agricolae
2014-04-20,39,agricolae
2014-04-21,43,agricolae
2014-04-22,89,agricolae
2014-04-23,113,agricolae
2014-04-24,114,agricolae
2014-04-25,85,agricolae
2014-04-26,47,agricolae
2014-04-27,76,agricolae
2014-04-28,93,agricolae
2014-04-29,88,agricolae
2014-04-30,86,agricolae
2014-05-01,55,agricolae
2014-05-02,57,agricolae
2014-05-03,42,agricolae
2014-05-04,34,agricolae
2014-05-05,54,agricolae
2014-05-06,85,agricolae
2014-05-07,78,agricolae
2014-05-08,88,agricolae
2014-05-09,51,agricolae
2014-05-10,32,agricolae
2014-05-11,21,agricolae
2014-05-12,61,agricolae
2014-05-13,82,agricolae
2014-05-14,86,agricolae
2014-05-15,96,agricolae
2014-05-16,7,agricolae
2014-05-17,5,agricolae
2014-05-18,45,agricolae
2014-05-19,72,agricolae
2014-05-20,118,agricolae
2014-05-21,30,agricolae
2014-05-22,75,agricolae
2014-05-23,73,agricolae
2014-05-24,32,agricolae
2014-05-25,51,agricolae
2014-05-26,182,agricolae
2014-05-27,64,agricolae
2014-05-28,71,agricolae
2014-05-29,117,agricolae
2014-05-30,70,agricolae
2014-05-31,55,agricolae
2014-06-01,32,agricolae
2014-06-02,88,agricolae
2014-06-03,80,agricolae
2014-06-04,146,agricolae
2014-06-05,94,agricolae
2014-06-06,60,agricolae
2014-06-07,45,agricolae
2014-06-08,38,agricolae
2014-06-09,92,agricolae
2014-06-10,80,agricolae
2014-06-11,62,agricolae
2014-06-12,62,agricolae
2014-06-13,58,agricolae
2014-06-14,24,agricolae
2014-06-15,39,agricolae
2014-06-16,64,agricolae
2014-06-17,57,agricolae
2014-06-18,96,agricolae
