date,package,count
2017-10-15,agricolae,254
2017-10-16,agricolae,610
2017-10-17,agricolae,517
2017-10-18,agricolae,454
2017-10-19,agricolae,593
2017-10-20,agricolae,383
2017-10-21,agricolae,253
2017-10-22,agricolae,276
2017-10-23,agricolae,510
2017-10-24,agricolae,556
2017-10-25,agricolae,406
2017-10-26,agricolae,518
2017-10-27,agricolae,448
2017-10-28,agricolae,209
2017-10-29,agricolae,195
2017-10-30,agricolae,600
2017-10-31,agricolae,507
2017-11-01,agricolae,502
2017-11-02,agricolae,497
2017-11-03,agricolae,535
2017-11-04,agricolae,213
2017-11-05,agricolae,249
2017-11-06,agricolae,602
2017-11-07,agricolae,604
2017-11-08,agricolae,666
2017-11-09,agricolae,545
2017-11-10,agricolae,410
2017-11-11,agricolae,220
2017-11-12,agricolae,224
2017-11-13,agricolae,604
2017-11-14,agricolae,584
2017-11-15,agricolae,554
2017-11-16,agricolae,515
2017-11-17,agricolae,538
2017-11-18,agricolae,185
2017-11-19,agricolae,254
2017-11-20,agricolae,559
2017-11-21,agricolae,516
2017-11-22,agricolae,527
2017-11-23,agricolae,390
2017-11-24,agricolae,287
2017-11-25,agricolae,233
2017-11-26,agricolae,238
2017-11-27,agricolae,489
2017-11-28,agricolae,574
2017-11-29,agricolae,583
2017-11-30,agricolae,563
2017-12-01,agricolae,436
2017-12-02,agricolae,227
2017-12-03,agricolae,226
2017-12-04,agricolae,479
2017-12-05,agricolae,579
2017-12-06,agricolae,381
2017-12-07,agricolae,382
2017-12-08,agricolae,292
2017-12-09,agricolae,219
2017-12-10,agricolae,232
2017-12-11,agricolae,402
2017-12-12,agricolae,391
2017-12-13,agricolae,420
2017-12-14,agricolae,450
2017-12-15,agricolae,315
2017-12-16,agricolae,150
2017-12-17,agricolae,166
2017-12-18,agricolae,298
2017-12-19,agricolae,283
2017-12-20,agricolae,310
2017-12-21,agricolae,225
2017-12-22,agricolae,174
2017-12-23,agricolae,91
2017-12-24,agricolae,84
2017-12-25,agricolae,91
2017-12-26,agricolae,134
2017-12-27,agricolae,152
2017-12-28,agricolae,152
2017-12-29,agricolae,133
2017-12-30,agricolae,107
2017-12-31,agricolae,74
2018-01-01,agricolae,69
2018-01-02,agricolae,159
2018-01-03,agricolae,261
2018-01-04,agricolae,221
2018-01-05,agricolae,217
2018-01-06,agricolae,89
2018-01-07,agricolae,150
2018-01-08,agricolae,235
2018-01-09,agricolae,283
2018-01-10,agricolae,274
2018-01-11,agricolae,315
2018-01-12,agricolae,234
2018-01-13,agricolae,123
2018-01-14,agricolae,166
2018-01-15,agricolae,274
2018-01-16,agricolae,340
2018-01-17,agricolae,409
2018-01-18,agricolae,281
2018-01-19,agricolae,336
2018-01-20,agricolae,158
2018-01-21,agricolae,129
2018-01-22,agricolae,363
2018-01-23,agricolae,355
2018-01-24,agricolae,357
2018-01-25,agricolae,358
2018-01-26,agricolae,337
2018-01-27,agricolae,175
2018-01-28,agricolae,158
2018-01-29,agricolae,371
2018-01-30,agricolae,351
2018-01-31,agricolae,338
2018-02-01,agricolae,396
2018-02-02,agricolae,294
2018-02-03,agricolae,154
2018-02-04,agricolae,189
2018-02-05,agricolae,384
2018-02-06,agricolae,367
2018-02-07,agricolae,361
2018-02-08,agricolae,435
2018-02-09,agricolae,311
2018-02-10,agricolae,123
2018-02-11,agricolae,204
2018-02-12,agricolae,318
2018-02-13,agricolae,396
2018-02-14,agricolae,419
2018-02-15,agricolae,502
2018-02-16,agricolae,264
2018-02-17,agricolae,180
2018-02-18,agricolae,165
2018-02-19,agricolae,360
2018-02-20,agricolae,478
2018-02-21,agricolae,493
2018-02-22,agricolae,500
2018-02-23,agricolae,389
2018-02-24,agricolae,141
2018-02-25,agricolae,154
2018-02-26,agricolae,402
2018-02-27,agricolae,401
2018-02-28,agricolae,484
2018-03-01,agricolae,470
2018-03-02,agricolae,421
2018-03-03,agricolae,190
2018-03-04,agricolae,262
2018-03-05,agricolae,386
